subclass,instance,gender,age,publication_year
Model,Lio_Tipton,non-binary,36.0,2008.0
Politician,Lisa_Bunker,trans woman,,2018.0
Artist,Lisa_Lee_Dark,intersex woman,43.0,2008.0
Politician,Lisa_van_Ginneken,trans woman,52.0,2021.0
Model,Loiza_Lamers,trans woman,29.0,2015.0
Writer,Lorimer_Shenher,trans man,,2019.0
Artist,Lotic_(musician),trans woman,35.0,2020.0
Artist,Love_(Ai_Otsuka),female organism,42.0,2007.0
Artist,Lu_Mocchi,transgender,34.0,2023.0
Artist,Lucas_Silveira,trans man,,2007.0
Scientist,Lucianne_Walkowicz,non-binary,45.0,2017.0
Writer,Lucy_Sante,trans woman,70.0,2006.0
Politician,Luisa_Revilla,trans woman,50.0,2021.0
Artist,Lynn_Breedlove,trans man,66.0,2006.0
Scientist,Lynn_Conway,trans woman,86.0,2004.0
MilitaryPerson,Lê_Văn_Duyệt,intersex man,69.0,2009.0
Youtuber,MacGyver_the_Lizard,male organism,12.0,2016.0
Artist,Macy_Rodman,trans woman,34.0,2021.0
Criminal,Maddison_Hall,trans woman,60.0,2006.0
Politician,Maebe_A._Girl,non-binary,38.0,2020.0
Writer,Magdalene_Visaggio,trans woman,40.0,2019.0
Artist,Maia_Kobabe,non-binary,35.0,2020.0
Artist,Mal_Blum,non-binary,36.0,2009.0
Criminal,Manuel_Blanco_Romasanta,intersex man,54.0,2011.0
Artist,Manuela_Trasobares,trans woman,62.0,2007.0
Artist,Marcie_Free,trans woman,70.0,2007.0
MilitaryPerson,Marengo_(horse),male organism,37.0,2006.0
Politician,Maria_Nikiforova,intersex woman,34.0,2005.0
Writer,Marieke_Lucas_Rijneveld,non-binary,33.0,2023.0
Writer,Marieke_Nijkamp,non-binary,38.0,2015.0
Artist,Marjorie_Beaucage,two-spirit,77.0,2018.0
Criminal,Mark_Errin_Rust,intersex man,59.0,2017.0
Artist,Marumaru,trans woman,31.0,2015.0
Writer,Mary_Diana_Dods,trans man,40.0,2014.0
Politician,María_Clemente_García,trans woman,39.0,2022.0
Writer,Matt_Kailey,trans man,59.0,2014.0
Writer,Mattilda_Bernstein_Sycamore,genderqueer,51.0,2009.0
Politician,Mauree_Turner,non-binary,31.0,2020.0
Writer,Maxim_Februari,trans man,61.0,2015.0
Philosopher,McKenzie_Wark,trans woman,63.0,2007.0
Artist,Meg_Duffy,non-binary,,2019.0
Scientist,Megan_Povey,trans woman,,2020.0
Cleric,Megan_Rohrer,non-binary,44.0,2017.0
Artist,Melanie_Gillman,non-binary,,2017.0
Artist,Mia_Isabella,trans woman,39.0,2014.0
Youtuber,Mia_Mulder,trans woman,31.0,2022.0
Artist,Mica_Levi,non-binary,37.0,2008.0
Artist,Micha_Cárdenas,trans woman,47.0,2009.0
OfficeHolder,Michael_A._Sullivan,intersex man,65.0,2023.0
Artist,Michael_Mandiberg,non-binary,47.0,2008.0
Artist,Michel-Marie_Poulain,trans woman,85.0,2021.0
